Fix1 Fix2 Rndm_FY Rndm_PE Rndm_Animal Phenotype_Circular Phenotype_Continuous
2 4 50 123 12694 1.390 1.390
4 5 87 123 12694 4.808 4.808
1 2 76 124 12693 0.376 0.376
2 3 77 124 12693 4.110 4.110
1 1 88 125 12692 2.313 8.596
2 5 57 125 12692 3.013 3.013
3 3 51 125 12692 4.200 4.200
3 5 63 125 12692 2.117 2.117
4 4 89 125 12692 5.046 5.046
1 2 59 126 3687 4.060 4.060
2 3 55 126 3687 2.060 2.060
3 4 61 126 3687 3.162 3.162
3 4 85 126 3687 4.944 4.944
4 4 90 126 3687 1.700 1.700
3 2 54 127 6098 1.887 1.887
3 3 55 127 6098 0.156 0.156
4 4 61 127 6098 4.254 4.254
1 2 90 128 12691 1.623 1.623
2 5 67 128 12691 1.331 1.331
5 5 91 128 12691 1.601 1.601
1 2 79 129 6097 3.754 3.754
2 3 71 129 6097 3.531 3.531
3 4 62 129 6097 2.494 2.494
3 4 63 129 6097 3.650 3.650
4 3 64 129 6097 3.109 3.109
4 2 59 130 3686 3.602 3.602
6 5 68 130 3686 5.938 5.938
2 2 63 131 6096 2.626 2.626
2 4 89 131 6096 2.622 2.622
4 5 61 131 6096 3.847 3.847
5 4 48 131 6096 6.252 6.252
5 3 49 131 6096 4.709 4.709
6 5 68 131 6096 5.598 5.598
6 4 50 131 6096 4.330 4.330
1 1 92 132 6095 0.480 6.763
1 5 70 132 6095 6.105 6.105
2 5 51 132 6095 3.314 3.314
3 4 83 132 6095 4.810 4.810
1 1 64 133 12690 1.656 7.939
1 4 65 133 12690 3.720 3.720
2 5 80 133 12690 5.696 5.696
3 4 74 133 12690 2.560 2.560
1 1 51 134 12689 1.104 7.387
1 4 64 134 12689 5.287 5.287
2 4 52 134 12689 2.705 2.705
3 5 80 134 12689 1.684 1.684
4 4 74 134 12689 1.928 1.928
5 3 81 134 12689 1.526 1.526
2 2 50 135 12688 3.329 3.329
1 1 51 136 12687 0.257 6.541
1 4 64 136 12687 4.222 4.222
2 2 63 137 6094 3.040 3.040
2 4 64 137 6094 1.629 1.629
3 4 52 137 6094 0.173 0.173
4 5 80 137 6094 1.732 1.732
5 3 74 137 6094 1.705 1.705
6 4 81 137 6094 1.570 1.570
6 4 84 137 6094 2.119 2.119
1 1 51 138 3685 6.191 6.191
1 4 64 138 3685 5.734 5.734
2 4 52 138 3685 1.160 1.160
3 5 80 138 3685 3.126 3.126
4 4 74 138 3685 3.025 3.025
5 4 75 138 3685 5.700 5.700
5 3 76 138 3685 2.344 2.344
6 4 77 138 3685 5.223 5.223
1 1 51 139 12686 2.032 8.315
2 5 52 139 12686 3.780 3.780
4 5 48 139 12686 5.268 5.268
4 4 49 139 12686 1.119 1.119
1 1 89 140 12685 1.802 8.086
1 1 88 141 6093 3.860 10.143
1 5 70 141 6093 4.272 4.272
2 3 71 141 6093 0.390 6.673
3 4 62 141 6093 4.515 4.515
4 5 64 141 6093 0.021 6.304
5 4 52 141 6093 5.049 5.049
6 5 80 141 6093 0.420 6.703
6 4 74 141 6093 5.127 5.127
2 2 53 142 2503 2.525 2.525
1 2 52 143 6092 2.601 2.601
3 5 80 143 6092 4.476 4.476
3 4 74 143 6092 2.294 2.294
3 2 63 144 12684 1.098 1.098
1 2 70 145 6091 5.163 5.163
2 5 62 145 6091 1.141 1.141
4 5 64 145 6091 5.747 5.747
5 4 52 145 6091 1.594 1.594
1 1 71 146 3684 6.036 6.036
1 4 62 146 3684 1.742 1.742
1 2 76 147 12683 0.342 0.342
2 3 77 147 12683 1.133 1.133
5 5 91 147 12683 2.877 2.877
1 1 71 148 6090 0.661 6.945
1 4 62 148 6090 3.349 3.349
1 2 67 149 12682 4.643 4.643
2 2 79 150 12681 4.913 4.913
3 3 71 150 12681 2.234 2.234
4 4 62 150 12681 5.931 5.931
1 1 89 151 3683 0.625 6.908
1 3 65 151 3683 3.224 3.224
2 5 80 151 3683 4.255 4.255
3 4 74 151 3683 3.732 3.732
4 3 81 151 3683 3.629 3.629
1 1 71 152 3682 2.726 2.726
1 4 62 152 3682 1.065 1.065
4 2 56 153 2502 4.980 4.980
5 4 57 153 2502 2.381 2.381
4 2 51 154 12680 1.757 1.757
5 5 58 154 12680 1.708 1.708
5 3 89 154 12680 5.569 5.569
1 1 71 155 12679 2.248 8.531
1 4 62 155 12679 1.695 1.695
1 2 79 156 6089 4.583 4.583
2 3 71 156 6089 4.754 4.754
3 4 62 156 6089 4.450 4.450
3 4 63 156 6089 5.255 5.255
5 5 55 156 6089 3.926 3.926
6 4 61 156 6089 3.729 3.729
6 4 48 156 6089 0.011 6.294
1 1 71 157 12677 4.228 4.228
1 1 62 158 12676 2.023 2.023
2 5 59 158 12676 3.343 3.343
1 2 66 159 12675 5.594 5.594
1 3 53 159 12675 5.986 -0.298
3 2 73 160 6088 2.628 2.628
3 3 74 160 6088 1.357 1.357
4 4 81 160 6088 2.989 2.989
4 4 84 160 6088 1.342 1.342
5 4 77 160 6088 3.752 3.752
1 1 52 161 12674 3.364 3.364
1 2 53 162 12673 1.786 1.786
1 2 57 163 12672 6.219 6.219
1 1 76 164 12671 2.748 9.031
1 3 82 164 12671 4.950 4.950
5 2 57 165 12670 4.132 4.132
6 3 51 165 12670 4.801 4.801
6 4 51 165 12670 3.918 3.918
1 2 53 166 12669 3.364 3.364
1 2 53 167 12668 5.767 -0.517
1 2 53 168 12667 2.288 2.288
1 2 53 169 12666 0.263 0.263
1 1 76 170 12665 1.804 8.087
1 4 77 170 12665 6.272 6.272
4 5 91 170 12665 5.701 5.701
6 2 75 171 6087 5.391 -0.892
6 3 76 171 6087 5.475 -0.808
6 3 82 171 6087 0.921 0.921
3 2 72 172 6086 3.852 3.852
3 3 63 172 6086 4.298 4.298
4 3 64 172 6086 0.000 6.284
4 4 52 172 6086 3.317 3.317
1 2 53 173 12664 2.222 2.222
1 2 53 174 12663 3.370 3.370
2 2 62 175 12662 0.763 0.763
5 2 56 176 6085 5.515 5.515
6 3 57 176 6085 5.077 5.077
6 3 51 176 6085 5.868 5.868
6 4 83 176 6085 3.966 3.966
6 5 73 176 6085 4.528 4.528
1 1 62 177 12661 6.051 6.051
2 2 72 178 12660 3.478 3.478
4 2 56 179 6084 2.398 2.398
4 5 71 179 6084 2.679 2.679
5 4 72 179 6084 3.018 3.018
6 4 58 179 6084 1.776 1.776
6 5 68 179 6084 0.592 0.592
